scenario,condition,t_id,expected,observed,abs_diff,rel_error,total_expected,total_observed,gdna_expected,gdna_pipeline,gdna_abs_diff,nrna_expected,nrna_pipeline,nrna_abs_diff,ctrl_observed,n_fragments,alignment_rate,n_intergenic
single_exon,gdna=20_ss=0.95_nrna=50,t_helper,61,51.29,9.71,0.16,174,226.29,221,206.0,15.0,105,67.71,37.29,0.0,500,1.0,111
single_exon,gdna=20_ss=0.95_nrna=50,t_ctrl,0,0.0,0.0,0.0,174,226.29,221,206.0,15.0,105,67.71,37.29,0.0,500,1.0,111
single_exon,gdna=20_ss=1.0_nrna=0,t1,144,173.0,29.0,0.2,220,247.95,280,236.0,44.0,0,16.05,16.05,0.0,500,1.0,147
single_exon,gdna=20_ss=1.0_nrna=0,t_helper,76,74.95,1.05,0.01,220,247.95,280,236.0,44.0,0,16.05,16.05,0.0,500,1.0,147
single_exon,gdna=20_ss=1.0_nrna=0,t_ctrl,0,0.0,0.0,0.0,220,247.95,280,236.0,44.0,0,16.05,16.05,0.0,500,1.0,147
single_exon,gdna=20_ss=1.0_nrna=30,t1,129,202.0,73.0,0.57,189,254.38,242,187.0,55.0,69,58.62,10.38,1.0,500,1.0,119
single_exon,gdna=20_ss=1.0_nrna=30,t_helper,60,51.38,8.62,0.14,189,254.38,242,187.0,55.0,69,58.62,10.38,1.0,500,1.0,119
single_exon,gdna=20_ss=1.0_nrna=30,t_ctrl,0,1.0,1.0,0.0,189,254.38,242,187.0,55.0,69,58.62,10.38,1.0,500,1.0,119
single_exon,gdna=20_ss=1.0_nrna=50,t1,111,195.0,84.0,0.76,174,236.29,221,174.0,47.0,105,89.71,15.29,0.0,500,1.0,98
single_exon,gdna=20_ss=1.0_nrna=50,t_helper,63,41.29,21.71,0.34,174,236.29,221,174.0,47.0,105,89.71,15.29,0.0,500,1.0,98
single_exon,gdna=20_ss=1.0_nrna=50,t_ctrl,0,0.0,0.0,0.0,174,236.29,221,174.0,47.0,105,89.71,15.29,0.0,500,1.0,98
single_exon,gdna=50_ss=0.65_nrna=0,t1,89,128.0,39.0,0.44,120,171.95,380,277.0,103.0,0,51.05,51.05,8.0,500,1.0,177
single_exon,gdna=50_ss=0.65_nrna=0,t_helper,31,35.95,4.95,0.16,120,171.95,380,277.0,103.0,0,51.05,51.05,8.0,500,1.0,177
single_exon,gdna=50_ss=0.65_nrna=0,t_ctrl,0,8.0,8.0,0.0,120,171.95,380,277.0,103.0,0,51.05,51.05,8.0,500,1.0,177
single_exon,gdna=50_ss=0.65_nrna=30,t1,69,125.0,56.0,0.81,110,188.07,350,234.0,116.0,40,77.93,37.93,16.0,500,1.0,169
single_exon,gdna=50_ss=0.65_nrna=30,t_helper,41,47.07,6.07,0.15,110,188.07,350,234.0,116.0,40,77.93,37.93,16.0,500,1.0,169
